reference_arm,comparison_arm,n_matched_target_turns,n_source_conversations,risk_difference,ci_low,ci_high,direct_positive_comparison_negative,direct_negative_comparison_positive,mcnemar_exact_p,cluster_sign_flip_exact_p,mcnemar_holm_p,cluster_sign_flip_holm_p
direct_assertion,reported_belief,433,232,0.14318706697459585,0.1049234105708199,0.18829600907121305,67,5,6.387730835678276e-15,5.523359547510154e-13,6.387730835678276e-15,5.523359547510154e-13
direct_assertion,reconsideration,433,232,0.16397228637413394,0.12200811063134555,0.21153846153846154,73,2,1.5093068328887564e-19,2.3141211169530607e-15,3.018613665777513e-19,4.628242233906121e-15
direct_assertion,question,433,232,0.16859122401847576,0.12713095991084605,0.21675040324338463,73,0,2.117582368135751e-22,1.3877787807814457e-17,1.2705494208814505e-21,8.326672684688674e-17
direct_assertion,explicit_fiction,433,232,0.16859122401847576,0.12825641990300302,0.21596278856571383,74,1,4.0234064994579266e-21,1.3877787807814457e-17,1.207021949837378e-20,8.326672684688674e-17
direct_assertion,quotation_analysis,433,232,0.17090069284064666,0.12751567224721588,0.22170926818053568,75,1,2.0381730293306602e-21,1.7694179454963432e-16,1.0190865146653301e-20,7.077671781985373e-16
direct_assertion,skeptical_roleplay,433,232,0.17090069284064666,0.12807881773399016,0.22141162669447342,75,1,2.0381730293306602e-21,1.7694179454963432e-16,1.0190865146653301e-20,7.077671781985373e-16
direct_assertion,translation,433,232,0.17321016166281755,0.13009669271449997,0.22432597231377718,75,0,5.293955920339377e-23,6.938893903907228e-18,3.705769144237564e-22,4.85722573273506e-17
