reference_arm,comparison_arm,n_matched_target_turns,n_source_conversations,risk_difference,ci_low,ci_high,direct_positive_comparison_negative,direct_negative_comparison_positive,mcnemar_exact_p,cluster_sign_flip_exact_p,mcnemar_holm_p,cluster_sign_flip_holm_p
direct_assertion,reported_belief,433,232,0.04387990762124711,0.023696370666001495,0.06839684707050644,19,0,3.814697265625e-06,1.52587890625e-05,1.52587890625e-05,0.0001068115234375
direct_assertion,reconsideration,433,232,0.04387990762124711,0.023911876102521535,0.06889532791015764,19,0,3.814697265625e-06,1.52587890625e-05,1.52587890625e-05,0.0001068115234375
direct_assertion,question,433,232,0.04387990762124711,0.024208566108007448,0.06791569086651054,19,0,3.814697265625e-06,1.52587890625e-05,1.52587890625e-05,0.0001068115234375
direct_assertion,explicit_fiction,433,232,0.046189376443418015,0.025369532203793586,0.07125307125307126,20,0,1.9073486328125e-06,1.52587890625e-05,1.33514404296875e-05,0.0001068115234375
direct_assertion,quotation_analysis,433,232,0.046189376443418015,0.02511415525114155,0.07075471698113207,20,0,1.9073486328125e-06,1.52587890625e-05,1.33514404296875e-05,0.0001068115234375
direct_assertion,skeptical_roleplay,433,232,0.046189376443418015,0.025103553863738845,0.07073282102684038,20,0,1.9073486328125e-06,1.52587890625e-05,1.33514404296875e-05,0.0001068115234375
direct_assertion,translation,433,232,0.03695150115473441,0.014896426793517341,0.062344289157202915,20,4,0.001543879508972168,0.0022144317626953125,0.001543879508972168,0.0022144317626953125
