history_type,targets,target_only_rate,full_context_rate,difference,ci_low,ci_high,pairs,conversations
No prior messages,53,0.03018867924528302,0.033962264150943396,0.0037735849056603774,-0.011320754716981131,0.024528301886792454,530,53
User-only prior history,356,0.030166337750211446,0.07217366788835636,0.042007330138144915,0.019435687770674365,0.06437570492237221,3547,167
Includes assistant history,24,0.012605042016806723,0.06302521008403361,0.05042016806722689,0.004219409282700422,0.10833333333333334,238,24
