context_bin,target_only_rate,full_context_rate,difference,ci_low,ci_high,pairs,conversations
0 (replication control),0.03018867924528302,0.033962264150943396,0.0037735849056603774,-0.013207547169811321,0.024528301886792454,530,53
1-4,0.03581661891117478,0.06017191977077364,0.024355300859598854,-0.005891233420655918,0.06018701179658852,698,60
5-12,0.04555808656036447,0.05011389521640091,0.004555808656036446,-0.011893258294398036,0.02530158609120024,878,61
13+,0.020371208691715707,0.08374830239927569,0.06337709370755998,0.032257631172973256,0.09397407249529173,2209,96
