comparison,mini_model,comparator_model,pairs,mini_rate,comparator_rate,difference,ci_low,ci_high
GPT-4o mini - GPT-4o,gpt-4o-mini-2024-07-18,gpt-4o-2024-05-13,432,0.05324074074074074,0.1087962962962963,-0.05555555555555555,-0.09090909090909091,-0.019959969196861268
o3 mini - o1,o3-mini-2025-01-31,o1-2024-12-17,433,0.12009237875288684,0.06235565819861432,0.057736720554272515,0.011285413549090725,0.10591212560939905
GPT-4.1 mini - GPT-4 Turbo,gpt-4.1-mini-2025-04-14,gpt-4-turbo-2024-04-09,433,0.19399538106235567,0.016166281755196306,0.17782909930715934,0.11315671086456501,0.2419364794902429
GPT-5 mini - GPT-5.2,gpt-5-mini-2025-08-07,gpt-5.2-2025-12-11,433,0.050808314087759814,0.006928406466512702,0.04387990762124711,0.01278772378516624,0.08205314009661833
