metric,layer,contrast,n_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,paired_effect_dz,wilcoxon_p,holm_p,robust
falsity_concern_mean_logit,8,validating_minus_neutral,417,0.029997139935538014,0.026932983783470837,0.03304831393442011,0.9216011272865433,1.146580232640702e-47,2.293160465281404e-47,True
falsity_concern_mean_logit,8,reality_testing_minus_neutral,417,-0.05660617109606119,-0.06183291248860648,-0.05156119829356753,-1.0646945694775267,2.721511731060712e-57,1.0886046924242849e-56,True
falsity_concern_mean_logit,8,validating_minus_reality_testing,417,0.08660331103159918,0.08083061904153543,0.0925135375539116,1.4284717968255647,1.9808417010355942e-67,5.942525103106783e-67,True
falsity_concern_mean_logit,16,validating_minus_neutral,417,-0.1354378347104321,-0.1449828962704734,-0.1260208431692795,-1.3663180525712604,2.3652478580861146e-65,9.460991432344458e-65,True
falsity_concern_mean_logit,16,reality_testing_minus_neutral,417,0.16794148578286755,0.15287707382617421,0.18311409998129508,1.0627864857807086,9.570967857046397e-55,2.871290357113919e-54,True
falsity_concern_mean_logit,16,validating_minus_reality_testing,417,-0.30337932049329963,-0.31944444202703476,-0.2874349506242081,-1.8359535762871961,4.68915826639524e-70,1.875663306558096e-69,True
falsity_concern_mean_logit,24,validating_minus_neutral,417,-0.19978934434494586,-0.2159920499807712,-0.1836480959974161,-1.1670430303922537,7.387777736214122e-58,2.2163333208642363e-57,True
falsity_concern_mean_logit,24,reality_testing_minus_neutral,417,-0.1946366833840057,-0.21789975530446964,-0.17115753975912634,-0.7856920852955952,3.560918412178149e-44,7.121836824356298e-44,True
falsity_concern_mean_logit,24,validating_minus_reality_testing,417,-0.005152660960940174,-0.026621959153035432,0.016732888093908285,-0.022952927287443397,0.6397835911904002,0.6397835911904002,False
falsity_concern_mean_logit,26,validating_minus_neutral,417,0.0562905989796112,0.04011169263810435,0.07215390244296244,0.33367517787750073,1.6239414536149223e-12,1.6239414536149223e-12,True
falsity_concern_mean_logit,26,reality_testing_minus_neutral,417,0.10268676152545562,0.08294529777465962,0.12228707153584921,0.5050637256801428,2.7805882201139068e-24,2.7805882201139068e-24,True
